submission_id,preferred_abc,preferred_a_or_d,preferred_overall
AlbMLW,Coffee A,Coffee D,Coffee D
EPboPq,Coffee A,Coffee A,Coffee C
ylq8yW,Coffee C,Coffee D,Coffee C
J2kEDz,Coffee A,Coffee A,Coffee A
24x9Lg,Coffee A,Coffee D,Coffee D
0EjYb6,Coffee C,Coffee D,Coffee D
ZdRb6a,Coffee C,Coffee D,Coffee D
WApbdP,Coffee C,Coffee D,Coffee D
24xY69,Coffee C,Coffee D,Coffee C
RzBqWd,Coffee A,Coffee D,Coffee D
RzBqLv,Coffee A,Coffee A,Coffee A
oAV8d5,Coffee C,Coffee A,Coffee C
oAV8OM,Coffee A,Coffee D,Coffee D
AlbYyW,Coffee A,Coffee D,Coffee D
KMB4kk,Coffee B,Coffee A,Coffee B
42N0Kd,Coffee B,Coffee A,Coffee B
0Ej0VZ,Coffee A,Coffee A,Coffee A
rlrQQo,Coffee C,Coffee A,Coffee C
vNx84X,Coffee A,Coffee A,Coffee A
OABxLk,Coffee A,Coffee A,Coffee A
MAd2V0,Coffee B,Coffee A,Coffee B
8dpbGk,Coffee A,Coffee A,Coffee A
zKQ8ja,Coffee A,Coffee A,Coffee A
YZzBLJ,Coffee C,Coffee A,Coffee C
QABNdl,Coffee B,Coffee A,Coffee B
8dpbko,Coffee B,Coffee A,Coffee B
XeB6Ee,Coffee A,Coffee A,Coffee A
KMBroK,Coffee B,Coffee D,Coffee B
24x9rg,Coffee A,Coffee D,Coffee D
dY2JjD,Coffee A,Coffee D,Coffee D
LdMjyz,Coffee B,Coffee D,Coffee D
9dJYM1,Coffee C,Coffee D,Coffee D
kYR4rj,Coffee C,Coffee A,Coffee C
pLPN7q,Coffee A,Coffee D,Coffee D
6dQ0eO,Coffee B,Coffee A,Coffee B
42NlLd,Coffee B,Coffee A,Coffee D
LdMxaj,Coffee A,Coffee A,Coffee A
BGbJZ4,Coffee A,Coffee A,Coffee A
J2kER7,Coffee B,Coffee D,Coffee B
eBxgQO,Coffee A,Coffee D,Coffee A
J2kELz,Coffee B,Coffee D,Coffee B
LdMjqJ,Coffee B,Coffee A,Coffee A
oAVNeM,Coffee C,Coffee A,Coffee C
oAVZ95,Coffee C,Coffee D,Coffee D
eBxGvE,Coffee A,Coffee D,Coffee D
g5NPYO,Coffee A,Coffee A,Coffee A
xdNbxo,Coffee A,Coffee A,Coffee A
zKQ8ZZ,Coffee A,Coffee D,Coffee D
rlrQxl,Coffee A,Coffee D,Coffee D
VZ1W8N,Coffee C,Coffee D,Coffee C
WAp6PN,Coffee B,Coffee A,Coffee B
DVvo9l,Coffee B,Coffee D,Coffee D
ylqAdB,Coffee B,Coffee D,Coffee B
rlrQP2,Coffee A,Coffee D,Coffee D
EPbo0L,Coffee C,Coffee A,Coffee C
ylqAY6,Coffee B,Coffee D,Coffee D
AlbR7B,Coffee A,Coffee D,Coffee D
EPbVxA,Coffee B,Coffee D,Coffee B
BGboo4,Coffee B,Coffee D,Coffee C
dY2GGD,Coffee C,Coffee D,Coffee C
oAV8o5,Coffee C,Coffee A,Coffee C
WApa9N,Coffee C,Coffee D,Coffee C
BGbJE5,Coffee C,Coffee D,Coffee D
0EjzA9,Coffee B,Coffee D,Coffee D
vNx6YX,Coffee B,Coffee A,Coffee B
WApaAQ,Coffee A,Coffee D,Coffee B
J2krZX,Coffee A,Coffee D,Coffee D
oAVN6V,Coffee C,Coffee D,Coffee D
VZ1WVN,Coffee A,Coffee D,Coffee D
42Nlko,Coffee A,Coffee D,Coffee D
RzBq4P,Coffee A,Coffee D,Coffee D
1r2QM4,Coffee B,Coffee D,Coffee D
LdM4d2,Coffee C,Coffee D,Coffee C
42N0dB,Coffee C,Coffee A,Coffee C
jB98M9,Coffee A,Coffee A,Coffee A
1r205O,Coffee A,Coffee A,Coffee A
5dq0yE,Coffee A,Coffee D,Coffee D
YZzb4N,Coffee A,Coffee A,Coffee A
QABq7Y,Coffee A,Coffee D,Coffee D
PABQDd,Coffee A,Coffee D,Coffee D
9dJY7E,Coffee C,Coffee D,Coffee C
24xYgM,Coffee B,Coffee D,Coffee B
KMB25K,Coffee A,Coffee D,Coffee D
RzBqzP,Coffee A,,Coffee A
GrBEvo,Coffee A,Coffee D,Coffee D
rlrQrv,Coffee C,Coffee A,Coffee C
LdMxpz,Coffee B,Coffee A,Coffee B
ZdRblA,Coffee A,Coffee A,Coffee A
bl4My7,Coffee B,Coffee D,Coffee B
XeB72d,Coffee C,Coffee A,Coffee C
zKQBXq,Coffee B,Coffee A,Coffee B
rlr9Yv,Coffee C,Coffee A,Coffee C
dY2GNy,Coffee B,Coffee D,Coffee D
zKQA18,Coffee C,Coffee D,Coffee D
ZdRAAV,Coffee A,Coffee D,Coffee D
VZ17Ev,Coffee C,Coffee D,Coffee D
NAB2Ab,Coffee A,Coffee D,Coffee D
rlr9yM,Coffee A,Coffee D,Coffee D
5dqYbv,Coffee A,Coffee A,Coffee A
AlbRKW,Coffee A,Coffee D,Coffee D
ylqb6X,Coffee B,Coffee D,Coffee D
dY2o6d,Coffee C,Coffee A,Coffee C
dY2oKz,Coffee B,Coffee A,Coffee B
oAVN61,Coffee A,Coffee D,Coffee D
rlr9yv,Coffee A,Coffee A,Coffee A
kYR4Nr,Coffee B,Coffee D,Coffee B
zKQ4kq,Coffee B,Coffee D,Coffee D
RzBeoP,Coffee A,Coffee D,Coffee D
24xYJL,Coffee A,Coffee D,Coffee D
ZdRAWA,Coffee C,Coffee A,Coffee C
rlr9OL,Coffee A,Coffee D,Coffee D
PABQdQ,Coffee A,Coffee A,Coffee A
1r20NQ,Coffee A,Coffee A,Coffee A
qbEqj2,Coffee B,Coffee D,Coffee B
g5NV9P,Coffee B,Coffee D,Coffee D
42NY8Y,Coffee C,Coffee D,Coffee D
GrBVJp,Coffee B,Coffee D,Coffee D
7d90RL,Coffee C,Coffee D,Coffee D
lNl8WV,Coffee C,Coffee D,Coffee B
vNxaEA,Coffee A,Coffee D,Coffee D
0EjY5P,Coffee A,Coffee D,Coffee D
eBxO5q,Coffee B,Coffee D,Coffee B
blx47Z,Coffee A,Coffee D,Coffee D
lNlXyB,Coffee A,Coffee A,Coffee C
1r2Yx4,Coffee A,Coffee A,Coffee A
1r20WM,Coffee A,Coffee A,Coffee A
J2krad,Coffee A,Coffee D,Coffee D
DVvo05,Coffee C,Coffee D,Coffee C
VZ1aJj,Coffee A,Coffee D,Coffee B
42N0ab,,,
aBrJxZ,Coffee B,Coffee A,Coffee B
9dJ0qG,Coffee A,Coffee D,Coffee D
PABN1x,Coffee B,Coffee D,Coffee B
8dpDDk,Coffee A,Coffee D,Coffee D
qA2y0O,Coffee A,Coffee D,Coffee A
V0ELg6,,,
zKQ8Qg,,,
VZ1WYN,Coffee A,Coffee A,Coffee A
jB98W1,,,
24x9Rj,,,
rlr82o,,,
QABNj7,,,
vNx8El,Coffee A,Coffee D,Coffee D
jB98WY,Coffee C,Coffee A,Coffee C
LdM4Op,,,
qbE8gG,,,
bl41zZ,Coffee B,Coffee D,Coffee D
xdN8yk,Coffee B,Coffee A,Coffee B
rlr8LX,Coffee B,Coffee A,Coffee B
jB98ga,,,
pLPY01,Coffee A,Coffee D,Coffee D
GrBODO,Coffee A,Coffee A,Coffee A
7d97a0,Coffee A,Coffee D,Coffee D
WApale,Coffee B,Coffee A,Coffee B
0EjqlN,,,
oAV8dN,Coffee C,Coffee A,Coffee C
0Ejqaj,Coffee A,Coffee A,Coffee A
5dqaeZ,Coffee C,Coffee D,Coffee C
g5N8v4,Coffee A,Coffee D,Coffee D
oAV8lb,Coffee A,Coffee A,Coffee A
AlbMyz,Coffee A,Coffee A,Coffee A
jB9871,Coffee B,Coffee D,Coffee D
9dJA2E,Coffee A,Coffee D,Coffee D
PABZBx,Coffee B,Coffee D,Coffee B
DVvRWR,Coffee A,Coffee D,Coffee D
dY2JDV,Coffee A,Coffee D,Coffee D
bl41Y1,Coffee B,Coffee A,Coffee B
rlr8vR,Coffee A,Coffee D,Coffee D
xdN89d,Coffee A,Coffee A,Coffee A
kYR8Jo,Coffee A,Coffee D,Coffee D
YZz7xW,Coffee C,Coffee D,Coffee D
RzBq29,Coffee C,Coffee A,Coffee C
24x9DD,,,
rlr8k2,Coffee A,Coffee A,Coffee A
7d97ER,Coffee A,Coffee A,Coffee A
GrBOBO,Coffee C,Coffee A,Coffee C
42NlPr,Coffee C,Coffee D,Coffee B
XeB6OP,Coffee A,Coffee D,Coffee D
VZ1W4y,Coffee A,Coffee A,Coffee A
kYR8ve,Coffee A,Coffee A,Coffee A
YZz7oN,Coffee A,Coffee D,Coffee D
OABxYM,Coffee C,Coffee A,Coffee C
xdN8lv,Coffee C,Coffee D,Coffee C
eBxgYk,Coffee C,Coffee A,Coffee D
RzBqj9,Coffee A,Coffee A,Coffee A
1r2QGg,Coffee A,Coffee D,Coffee D
pLPYZJ,Coffee A,Coffee D,Coffee D
MAdj6k,Coffee A,Coffee D,Coffee D
OABxER,Coffee B,Coffee D,Coffee A
BGbJ0K,Coffee C,Coffee A,Coffee C
qbE8jO,Coffee B,Coffee D,Coffee D
kYR8ze,Coffee B,Coffee A,Coffee B
GrBODQ,Coffee A,Coffee A,Coffee D
vNx8KD,Coffee C,Coffee A,Coffee C
oAV8VN,Coffee A,Coffee D,Coffee D
VZ1Wxg,Coffee A,Coffee A,Coffee A
24x9Oe,Coffee C,Coffee D,Coffee D
KMBrO8,Coffee A,Coffee D,Coffee D
WApa1v,Coffee B,Coffee D,Coffee A
bl41gL,Coffee C,Coffee A,Coffee D
EPbovB,Coffee A,Coffee A,Coffee A
ylq8e8,Coffee A,Coffee A,Coffee A
24x9ZL,Coffee A,Coffee A,Coffee A
MAdjGM,Coffee C,Coffee D,Coffee D
24x9Zj,Coffee A,Coffee A,Coffee A
rlr8kR,Coffee C,Coffee D,Coffee C
g5N8pl,Coffee A,Coffee A,Coffee A
rlr8qN,Coffee C,Coffee A,Coffee C
ylq87g,Coffee C,Coffee A,Coffee C
GrBO7Z,Coffee A,Coffee A,Coffee A
NAB2Rj,Coffee A,Coffee D,Coffee D
RzBqkj,Coffee A,Coffee D,Coffee D
xdN86r,Coffee A,Coffee D,Coffee D
9dJArQ,Coffee C,Coffee A,Coffee C
EPboa4,Coffee B,Coffee A,Coffee B
WApaQN,Coffee A,Coffee D,Coffee D
42NlN5,Coffee A,Coffee A,Coffee A
AlbM50,Coffee B,Coffee D,Coffee B
QABNap,Coffee A,Coffee D,Coffee D
dY2Jkd,Coffee B,Coffee A,Coffee D
RzBqr9,Coffee A,Coffee A,Coffee A
lNl89W,Coffee B,Coffee D,Coffee B
PABZGB,Coffee A,Coffee A,Coffee A
RzBqjj,Coffee A,Coffee D,Coffee B
LdM4ov,Coffee A,Coffee A,Coffee A
GrBO5k,Coffee A,Coffee A,Coffee A
ZdRbWo,Coffee C,Coffee D,Coffee C
AlbMQD,Coffee C,Coffee A,Coffee C
42NlqX,Coffee C,Coffee D,Coffee C
24x9D9,Coffee C,Coffee D,Coffee A
oAV81V,Coffee C,Coffee D,Coffee D
QABNE7,Coffee B,Coffee D,Coffee D
6dQ6QN,Coffee A,Coffee D,Coffee D
KMBrkV,Coffee A,Coffee A,Coffee A
g5N8NJ,Coffee B,Coffee D,Coffee D
aBrpab,Coffee B,Coffee A,Coffee B
OABxVR,Coffee B,Coffee A,Coffee B
aBrpPq,Coffee B,Coffee D,Coffee D
bl41vZ,Coffee C,Coffee A,Coffee C
oAV8kO,Coffee B,Coffee A,Coffee B
qbE8NG,Coffee B,Coffee D,Coffee B
eBxgoe,Coffee A,Coffee A,Coffee C
aBrpkB,Coffee B,Coffee D,Coffee D
vNx8g0,Coffee A,Coffee D,Coffee D
NAB2Ol,Coffee A,Coffee A,Coffee A
GrBObk,Coffee C,Coffee D,Coffee A
kYR8x1,Coffee B,Coffee A,Coffee B
g5N8z4,Coffee C,Coffee D,Coffee C
lNl8zv,Coffee C,Coffee A,Coffee C
jB98z4,Coffee C,Coffee D,Coffee C
RzBqVj,Coffee C,Coffee D,Coffee D
BGbJ6Q,Coffee C,Coffee D,Coffee D
5dqagd,Coffee C,Coffee D,Coffee D
QABN8Y,Coffee C,Coffee A,Coffee C
24x9o9,Coffee A,Coffee A,Coffee A
BGbJ9Q,Coffee A,Coffee D,Coffee D
PABZrV,Coffee A,Coffee A,Coffee A
lNl84k,Coffee A,Coffee A,Coffee B
rlr8YR,Coffee A,Coffee D,Coffee D
zKQ8L0,Coffee A,Coffee D,Coffee D
NAB2El,Coffee A,Coffee A,Coffee A
9dJAMV,Coffee A,Coffee A,Coffee A
YZz79J,Coffee C,Coffee D,Coffee C
5dqaod,Coffee C,Coffee D,Coffee B
GrBOgp,Coffee B,Coffee A,Coffee B
dY2Jgo,Coffee A,Coffee D,Coffee C
AlbMAe,Coffee C,Coffee D,Coffee D
XeB6d4,Coffee A,Coffee D,Coffee D
QABNX8,Coffee A,Coffee D,Coffee D
1r2QBp,Coffee A,Coffee D,Coffee D
VZ1WY6,Coffee C,Coffee D,Coffee C
LdM4Vv,Coffee C,Coffee A,Coffee C
6dQ6MJ,Coffee A,Coffee A,Coffee A
oAV8vx,Coffee B,Coffee D,Coffee D
oAV8gP,Coffee C,Coffee D,Coffee C
EPboJ2,Coffee C,Coffee A,Coffee C
MAdjVA,Coffee B,Coffee D,Coffee B
EPboEX,Coffee B,Coffee A,Coffee B
6dQ64k,Coffee B,Coffee D,Coffee B
NAB240,Coffee A,Coffee A,Coffee A
pLPYzB,Coffee B,Coffee A,Coffee B
OABxEg,Coffee B,Coffee D,Coffee B
NAB2gB,Coffee A,Coffee A,Coffee A
vNx8vQ,Coffee B,Coffee A,Coffee B
LdM4yj,Coffee C,Coffee D,Coffee D
qbE8k9,Coffee A,Coffee D,Coffee D
qbE8v9,Coffee A,Coffee D,Coffee D
dY2J8d,Coffee A,Coffee D,Coffee D
jB98Yx,Coffee A,Coffee A,Coffee A
rlr8gN,Coffee C,Coffee D,Coffee C
XeB6Ng,Coffee C,Coffee A,Coffee C
OABx97,Coffee A,Coffee A,Coffee A
42NlEX,Coffee A,Coffee D,Coffee D
LdM4al,Coffee A,Coffee A,Coffee A
ZdRbDB,Coffee A,Coffee A,Coffee A
6dQ6Vk,Coffee B,Coffee D,Coffee B
8dpbVx,Coffee B,Coffee A,Coffee D
6dQ65P,Coffee C,Coffee A,Coffee C
1r2Q6l,Coffee C,Coffee A,Coffee C
7d97MR,Coffee A,Coffee A,Coffee A
ylq8GB,Coffee C,Coffee D,Coffee C
kYR8p1,Coffee B,Coffee D,Coffee D
8dpbgx,Coffee A,Coffee D,Coffee D
VZ1Wqg,Coffee A,Coffee D,Coffee D
WApaBa,Coffee A,Coffee A,Coffee A
dY2J1q,Coffee C,Coffee A,Coffee C
vNx8W0,Coffee A,Coffee D,Coffee D
5dqaOo,Coffee B,Coffee A,Coffee B
QABNWp,Coffee C,Coffee D,Coffee C
ZdRbQo,Coffee C,Coffee D,Coffee C
NAB2yB,Coffee C,Coffee D,Coffee D
oAV81e,Coffee A,Coffee D,Coffee D
PABZYx,Coffee A,Coffee D,Coffee D
PABZWb,Coffee B,Coffee D,Coffee B
XeB6v4,Coffee C,Coffee A,Coffee C
9dJAxQ,Coffee C,Coffee A,Coffee C
DVvRE5,Coffee C,Coffee A,Coffee C
lNl87X,Coffee C,Coffee A,Coffee A
eBxgye,Coffee B,Coffee D,Coffee B
aBrpgq,Coffee C,Coffee D,Coffee C
OABxrR,Coffee C,Coffee D,Coffee A
WApajv,,,
1r2QxQ,Coffee B,Coffee D,Coffee D
AlbM9z,Coffee A,Coffee D,Coffee C
8dpbWO,Coffee A,Coffee A,Coffee B
7d97zA,Coffee A,Coffee D,Coffee D
24x9zV,Coffee C,Coffee A,Coffee D
VZ1W9j,Coffee B,Coffee D,Coffee B
rlr8YN,Coffee A,Coffee A,Coffee A
xdN80d,Coffee A,Coffee A,Coffee A
1r2QgW,Coffee B,Coffee D,Coffee D
EPbo64,Coffee C,Coffee D,Coffee B
qbE877,Coffee B,Coffee A,Coffee B
KMBrGV,Coffee C,Coffee D,Coffee A
6dQ6WY,Coffee C,Coffee A,Coffee C
EPboA4,Coffee A,Coffee A,Coffee A
PABZy5,Coffee C,Coffee A,Coffee C
ZdRbgz,Coffee B,Coffee A,Coffee B
EPbo6r,Coffee C,Coffee D,Coffee D
6dQ6zB,Coffee C,Coffee D,Coffee C
LdM4Ey,Coffee A,Coffee D,Coffee D
ylq8gg,Coffee A,Coffee A,Coffee A
42NlOY,Coffee C,Coffee A,Coffee C
MAdjPM,Coffee C,Coffee A,Coffee C
8dpb5O,Coffee A,Coffee D,Coffee D
1r2QRl,Coffee A,Coffee D,Coffee D
jB985Q,Coffee B,Coffee A,Coffee B
J2kEBo,Coffee A,Coffee A,Coffee A
eBxgvk,Coffee B,Coffee D,Coffee B
7d97jZ,Coffee C,Coffee D,Coffee D
dY2JzK,Coffee A,Coffee D,Coffee D
PABZe5,Coffee C,Coffee A,Coffee C
J2kEGo,Coffee A,Coffee A,Coffee A
ylq8zx,Coffee C,Coffee A,Coffee C
WApapR,,,
xdN8z5,Coffee A,Coffee D,Coffee D
NAB2dj,Coffee C,Coffee D,Coffee D
ylq81x,Coffee A,Coffee D,Coffee D
vNx8zD,Coffee A,Coffee A,Coffee D
oAV8zP,Coffee B,Coffee D,Coffee D
QABNkG,Coffee C,Coffee A,Coffee C
8dpbDA,,,
YZz760,Coffee C,Coffee A,Coffee C
PABZqd,Coffee B,Coffee D,Coffee B
oAV8LX,Coffee C,Coffee D,Coffee C
XeB6Pd,Coffee A,Coffee D,Coffee D
AlbMRB,Coffee A,Coffee D,Coffee D
jB98XR,Coffee C,Coffee A,Coffee C
NAB2Zb,Coffee C,Coffee D,Coffee C
aBrpMy,Coffee A,Coffee A,Coffee A
OABxKK,Coffee A,Coffee D,Coffee D
pLPYlP,,,
EPbooq,Coffee C,Coffee A,Coffee C
XeB6je,,,
PABZq0,Coffee B,Coffee D,Coffee B
GrBOE2,Coffee B,Coffee A,Coffee B
pLPYYZ,Coffee C,Coffee D,Coffee D
GrBOVj,Coffee A,Coffee D,Coffee D
DVvROb,Coffee A,Coffee A,Coffee A
rlr8Z5,Coffee C,Coffee A,Coffee C
KMBr2M,Coffee B,Coffee D,Coffee D
kYR8BJ,Coffee A,Coffee D,Coffee D
aBrpJ9,Coffee C,Coffee D,Coffee C
bl41a0,Coffee B,Coffee D,Coffee D
RzBqyp,Coffee C,Coffee D,Coffee D
1r2Q0M,Coffee B,Coffee D,Coffee D
GrBOO2,Coffee A,Coffee A,Coffee D
jB98V6,Coffee B,Coffee D,Coffee D
QABNpg,Coffee C,Coffee A,Coffee C
DVvR6j,Coffee C,Coffee D,Coffee D
xdN8q9,Coffee A,Coffee D,Coffee D
xdN8W9,Coffee A,Coffee A,Coffee A
9dJAzX,Coffee C,Coffee A,Coffee C
rlr8ep,Coffee B,Coffee A,Coffee B
WApa4L,Coffee A,Coffee D,Coffee D
lNl8pV,Coffee B,Coffee A,Coffee B
9dJAbX,Coffee A,Coffee D,Coffee D
zKQ8A1,Coffee C,Coffee A,Coffee C
QABNP1,Coffee B,Coffee D,Coffee D
pLPYEE,Coffee A,Coffee A,Coffee A
GrBOMQ,Coffee C,Coffee D,Coffee B
RzBqpQ,Coffee A,Coffee D,Coffee D
24x9MM,Coffee B,Coffee D,Coffee D
7d9rX0,Coffee A,Coffee D,Coffee D
YZz72z,Coffee B,Coffee A,Coffee B
42Nl0b,Coffee C,Coffee D,Coffee D
lNl8JX,Coffee C,Coffee D,Coffee D
xdN8kd,Coffee A,Coffee A,Coffee A
VZ1WWE,Coffee C,Coffee A,Coffee C
bl4QV6,Coffee B,Coffee A,Coffee A
LdM4xG,Coffee B,Coffee A,Coffee D
VZ1OLj,Coffee A,Coffee D,Coffee D
KMBrrk,Coffee A,Coffee A,Coffee A
5dqaWQ,Coffee C,Coffee D,Coffee C
NAB22W,Coffee B,Coffee D,Coffee B
eBxWZx,Coffee A,Coffee D,Coffee D
OABxOM,Coffee B,Coffee A,Coffee B
lNl825,Coffee C,Coffee D,Coffee D
EPboy2,Coffee A,Coffee A,Coffee A
LdM48z,Coffee B,Coffee D,Coffee D
KMBKYX,Coffee A,Coffee D,Coffee D
NAB21W,Coffee B,Coffee A,Coffee B
42NlMo,Coffee A,Coffee A,Coffee A
BGbJv4,Coffee A,Coffee D,Coffee C
rlr8No,Coffee B,Coffee A,Coffee B
24xGEe,Coffee C,Coffee A,Coffee C
lNlkBN,Coffee B,Coffee D,Coffee D
eBxWae,Coffee C,Coffee D,Coffee C
WApavR,Coffee A,Coffee A,Coffee A
1r2o9p,Coffee A,Coffee A,Coffee A
OABM7R,Coffee A,Coffee A,Coffee A
aBrqOX,Coffee C,Coffee D,Coffee D
qbE1GG,Coffee A,Coffee D,Coffee D
8dp4aP,Coffee B,Coffee D,Coffee D
0EjR7j,Coffee A,Coffee A,Coffee A
YZz7EN,Coffee A,Coffee A,Coffee A
OABxRk,Coffee A,Coffee A,Coffee A
AlbMgN,Coffee C,Coffee A,Coffee C
lNlk6k,Coffee C,Coffee D,Coffee C
OABxWM,Coffee B,Coffee A,Coffee B
xdN5Yy,Coffee A,Coffee D,Coffee D
AlbMYB,Coffee B,Coffee A,Coffee B
ylq5Jg,Coffee A,Coffee A,Coffee A
VZ1WRj,Coffee A,Coffee A,Coffee C
jB9Ala,Coffee B,Coffee D,Coffee D
YZzl4B,Coffee B,Coffee A,Coffee B
J2kvz4,Coffee B,Coffee A,Coffee B
oAV8W5,Coffee B,Coffee A,Coffee B
oAVLGe,Coffee A,Coffee D,Coffee D
KMBKlA,Coffee C,Coffee D,Coffee C
6dQEDY,Coffee A,Coffee D,Coffee D
1r2o7Q,Coffee A,Coffee A,Coffee A
1r2oVQ,Coffee A,Coffee D,Coffee B
0EjR8y,Coffee C,Coffee A,Coffee C
LdMLzp,Coffee C,Coffee D,Coffee C
LdML7p,Coffee C,Coffee A,Coffee C
jB9Ab4,Coffee C,Coffee D,Coffee D
aBrq4B,Coffee C,Coffee D,Coffee C
DVv6Nq,Coffee A,Coffee D,Coffee D
DVv6pR,Coffee A,Coffee D,Coffee A
rlrMON,Coffee A,Coffee D,Coffee D
g5N6Ml,Coffee A,Coffee A,Coffee C
NAB1oB,Coffee B,Coffee A,Coffee B
VZ1Ojy,Coffee B,Coffee A,Coffee B
dY2exq,Coffee A,Coffee A,Coffee A
RzByo9,Coffee B,Coffee A,Coffee B
rlrMoN,Coffee B,,Coffee B
XeBP4g,Coffee B,Coffee A,Coffee B
DVv6qN,Coffee C,Coffee D,Coffee D
vNx5P0,Coffee A,Coffee D,Coffee D
6dQEZk,Coffee A,Coffee D,Coffee D
qbE1d7,Coffee A,Coffee A,Coffee A
bl4QeL,Coffee A,Coffee D,Coffee D
PABJ55,Coffee A,Coffee A,Coffee A
aBrq9b,Coffee C,Coffee A,Coffee C
LdMLPv,Coffee A,Coffee D,Coffee D
qbE1VY,Coffee A,Coffee D,Coffee D
oAVLEx,Coffee B,Coffee D,Coffee D
PABJ1V,Coffee C,Coffee D,Coffee C
0EjR6N,Coffee B,Coffee D,Coffee B
BGbW75,Coffee B,Coffee A,Coffee B
8dp4L5,Coffee B,Coffee D,Coffee B
GrBARZ,Coffee A,Coffee A,Coffee C
rlrMBR,Coffee A,Coffee A,Coffee A
J2kEvY,Coffee A,Coffee A,Coffee A
GrBAve,Coffee B,Coffee A,Coffee B
g5N6qO,Coffee B,Coffee A,Coffee B
J2kvOo,Coffee A,Coffee D,Coffee D
GrBAlp,Coffee B,Coffee D,Coffee A
7d9r2P,Coffee A,Coffee A,Coffee A
1r2odl,Coffee A,Coffee D,Coffee D
J2kvdR,Coffee A,Coffee D,Coffee D
jB9APx,Coffee A,Coffee D,Coffee D
DVv6kZ,Coffee B,Coffee A,Coffee B
xdN8Ok,Coffee A,Coffee A,Coffee A
NAB1qO,Coffee B,Coffee A,Coffee B
GrBA9Z,Coffee A,Coffee A,Coffee A
bl4Qdg,Coffee C,Coffee D,Coffee D
5dqPZo,Coffee A,Coffee D,Coffee D
J2kEyz,Coffee B,Coffee A,Coffee B
jB98j9,Coffee C,Coffee D,Coffee C
DVv67R,Coffee A,Coffee D,Coffee D
QABlV8,Coffee A,Coffee A,Coffee A
LdMLpj,Coffee A,Coffee D,Coffee D
42NVrX,Coffee A,Coffee D,Coffee D
VZ1OpM,Coffee C,Coffee A,Coffee C
42NlWr,Coffee B,Coffee A,Coffee B
KMBKV8,Coffee A,Coffee D,Coffee D
aBrq6q,Coffee A,Coffee A,Coffee A
