submission_id,age,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,work_from_home
rlrQxl,25-34 years old,Prefer not to say,,,,,,,,I primarily work from home
VZ1W8N,25-34 years old,,,,,,,,,I primarily work from home
WAp6PN,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Student,,No affiliation,I primarily work in person
DVvo9l,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
ylqAdB,>65 years old,Male,,Bachelor's degree,White/Caucasian,,Retired,More than 3,Republican,I primarily work from home
rlrQP2,25-34 years old,,,,,,,,,
EPbo0L,35-44 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work in person
ylqAY6,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
AlbR7B,25-34 years old,Male,,Master's degree,White/Caucasian,,Student,,Republican,I primarily work from home
EPbVxA,18-24 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
BGboo4,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
dY2GGD,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work from home
oAV8o5,25-34 years old,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
WApa9N,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
BGbJE5,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
0EjzA9,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,,Democrat,I primarily work from home
vNx6YX,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
WApaAQ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
J2krZX,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
oAVN6V,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
VZ1WVN,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
42Nlko,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
RzBq4P,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
1r2QM4,25-34 years old,Male,,Master's degree,White/Caucasian,Korean,Employed full-time,,No affiliation,I primarily work in person
LdM4d2,25-34 years old,Female,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
42N0dB,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Democrat,I primarily work from home
jB98M9,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
1r205O,35-44 years old,Female,,Master's degree,Other (please specify),White and latina,Employed full-time,,Democrat,I primarily work from home
5dq0yE,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,No affiliation,I primarily work in person
YZzb4N,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
QABq7Y,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
PABQDd,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed part-time,,Democrat,I do a mix of both
9dJY7E,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
24xYgM,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
KMB25K,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
RzBqzP,35-44 years old,,,,,,,,,
GrBEvo,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
rlrQrv,25-34 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
LdMxpz,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
ZdRblA,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
bl4My7,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
XeB72d,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,,No affiliation,I primarily work from home
zKQBXq,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
rlr9Yv,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
dY2GNy,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
zKQA18,18-24 years old,Non-binary,,Bachelor's degree,Asian/Pacific Islander,,Student,,Democrat,I do a mix of both
ZdRAAV,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
VZ17Ev,25-34 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
NAB2Ab,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
rlr9yM,25-34 years old,Male,,Master's degree,,,Employed full-time,,Democrat,I primarily work in person
5dqYbv,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
AlbRKW,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
ylqb6X,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
dY2o6d,25-34 years old,,,,,,,,,
dY2oKz,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
oAVN61,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
rlr9yv,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work from home
kYR4Nr,18-24 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Employed part-time,,Democrat,I primarily work in person
zKQ4kq,45-54 years old,Male,,Bachelor's degree,Other (please specify),Asian/White,Employed full-time,1,Democrat,I primarily work from home
RzBeoP,<18 years old,Male,,Less than high school,White/Caucasian,,Unemployed,,No affiliation,I primarily work in person
24xYJL,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,
ZdRAWA,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Republican,I primarily work in person
rlr9OL,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
PABQdQ,55-64 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,,I primarily work in person
1r20NQ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
qbEqj2,35-44 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
g5NV9P,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
42NY8Y,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
GrBVJp,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
7d90RL,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
lNl8WV,18-24 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
vNxaEA,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work in person
0EjY5P,25-34 years old,Male,,Doctorate or professional degree,Hispanic/Latino,,Student,,Democrat,I do a mix of both
eBxO5q,18-24 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,I primarily work from home
blx47Z,18-24 years old,,,,,,,,,
lNlXyB,45-54 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
1r2Yx4,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
1r20WM,35-44 years old,Male,,Bachelor's degree,,,Employed full-time,,,I primarily work from home
J2krad,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Student,,Democrat,I do a mix of both
DVvo05,18-24 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
VZ1aJj,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
42N0ab,45-54 years old,,,,,,,,,
aBrJxZ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
9dJ0qG,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
PABN1x,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
8dpDDk,25-34 years old,Male,,,,,,,,I primarily work from home
qA2y0O,18-24 years old,,,,,,,,,
V0ELg6,25-34 years old,,,,,,,,,
zKQ8Qg,35-44 years old,,,,,,,,,
VZ1WYN,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
jB98W1,45-54 years old,,,,,,,,,
24x9Rj,18-24 years old,,,,,,,,,
rlr82o,25-34 years old,,,,,,,,,
QABNj7,25-34 years old,,,,,,,,,
vNx8El,35-44 years old,,,,,,,,,
jB98WY,25-34 years old,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
LdM4Op,25-34 years old,,,,,,,,,
qbE8gG,25-34 years old,,,,,,,,,
bl41zZ,18-24 years old,,,,,,,,,
xdN8yk,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
rlr8LX,45-54 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I primarily work from home
jB98ga,25-34 years old,,,,,,,,,
pLPY01,45-54 years old,,,,,,,,,
GrBODO,>65 years old,Female,,Doctorate or professional degree,White/Caucasian,,Retired,2,Democrat,I primarily work from home
7d97a0,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
WApale,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
0EjqlN,35-44 years old,,,,,,,,,
oAV8dN,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
0Ejqaj,25-34 years old,,,,,,,,,
5dqaeZ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
g5N8v4,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,,I do a mix of both
oAV8lb,35-44 years old,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
AlbMyz,55-64 years old,,,,,,,,,
jB9871,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
9dJA2E,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
PABZBx,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I do a mix of both
DVvRWR,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I primarily work from home
dY2JDV,25-34 years old,Male,,Doctorate or professional degree,Hispanic/Latino,,Employed full-time,,No affiliation,I primarily work from home
bl41Y1,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
rlr8vR,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
xdN89d,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,No affiliation,I primarily work from home
kYR8Jo,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
YZz7xW,25-34 years old,Male,,High school graduate,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work from home
RzBq29,35-44 years old,,,,,,,,,
24x9DD,35-44 years old,,,,,,,,,
rlr8k2,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work in person
7d97ER,25-34 years old,Male,,,,,,,,I primarily work in person
GrBOBO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
42NlPr,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
XeB6OP,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
VZ1W4y,25-34 years old,Male,,Less than high school,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
kYR8ve,25-34 years old,Male,,Master's degree,Black/African American,,Employed full-time,,Democrat,I do a mix of both
YZz7oN,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
OABxYM,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
xdN8lv,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
eBxgYk,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
RzBqj9,25-34 years old,Female,,High school graduate,White/Caucasian,,Employed part-time,,No affiliation,I primarily work in person
1r2QGg,35-44 years old,Male,,,,,,,,I primarily work from home
pLPYZJ,45-54 years old,,,,,,,,,I do a mix of both
MAdj6k,18-24 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
OABxER,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Student,,Democrat,I primarily work in person
BGbJ0K,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I do a mix of both
qbE8jO,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
kYR8ze,>65 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,,Democrat,I primarily work in person
GrBODQ,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
vNx8KD,35-44 years old,Male,,Bachelor's degree,Black/African American,,Employed full-time,,No affiliation,I do a mix of both
oAV8VN,35-44 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work from home
VZ1Wxg,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
24x9Oe,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
KMBrO8,55-64 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
WApa1v,18-24 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Student,,Independent,I primarily work in person
bl41gL,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
EPbovB,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work in person
ylq8e8,55-64 years old,Female,,Master's degree,Hispanic/Latino,,Employed full-time,2,Democrat,I primarily work in person
24x9ZL,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Republican,I primarily work in person
MAdjGM,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Democrat,I primarily work from home
