submission_id,monthly_coffee_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,monthly_spend_band_order,estimated_monthly_spend
OABqQp,$20-$40,$4-$6,$6-$8,Yes,$20-$50,Yes,2,30.0
DVvOop,,,,,,,,
KMBrLz,,,,,,,,
jB9r21,>$100,$8-$10,$10-$15,No,"More than $1,000",Yes,6,110.0
pLPYLE,$40-$60,$8-$10,$10-$15,No,"More than $1,000",Yes,3,50.0
oAV8yX,,,,,,,,
aBrp0W,,,,,,,,
g5NPxK,$40-$60,$15-$20,$15-$20,No,"More than $1,000",Yes,3,50.0
bl41kE,$80-$100,$10-$15,$10-$15,No,$500-$1000,Yes,5,90.0
GrBO1z,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
xdN8Q9,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
vNx8Xv,$20-$40,$6-$8,$6-$8,Yes,$50-$100,Yes,2,30.0
dY2JPN,$20-$40,$6-$8,$6-$8,Yes,$50-$100,Yes,2,30.0
MAdjLE,>$100,$15-$20,More than $20,Yes,"More than $1,000",Yes,6,110.0
6dQ6xo,$40-$60,$10-$15,More than $20,No,"More than $1,000",Yes,3,50.0
7d97lZ,>$100,$8-$10,$15-$20,Yes,$20-$50,No,6,110.0
0EjqPQ,$40-$60,$8-$10,$15-$20,No,$300-$500,Yes,3,50.0
BGbJD4,$20-$40,$6-$8,More than $20,Yes,$100-$300,Yes,2,30.0
9dJYbp,$20-$40,$15-$20,$10-$15,No,$100-$300,Yes,2,30.0
xdNbJ9,$20-$40,$8-$10,$8-$10,Yes,$300-$500,Yes,2,30.0
EPbVLl,,,,,,,,
pLPNQJ,$40-$60,$6-$8,$6-$8,No,$300-$500,Yes,3,50.0
AlbMLW,$80-$100,$8-$10,$8-$10,Yes,$500-$1000,Yes,5,90.0
EPboPq,>$100,$15-$20,More than $20,Yes,$500-$1000,Yes,6,110.0
ylq8yW,$20-$40,$8-$10,$10-$15,No,$20-$50,Yes,2,30.0
J2kEDz,$20-$40,$4-$6,$4-$6,No,$500-$1000,Yes,2,30.0
24x9Lg,$20-$40,$10-$15,$10-$15,No,$300-$500,Yes,2,30.0
0EjYb6,>$100,$10-$15,$10-$15,Yes,"More than $1,000",Yes,6,110.0
ZdRb6a,$20-$40,$10-$15,$15-$20,Yes,$500-$1000,Yes,2,30.0
WApbdP,$20-$40,$8-$10,More than $20,No,$300-$500,Yes,2,30.0
24xY69,$20-$40,$8-$10,,Yes,$20-$50,Yes,2,30.0
RzBqWd,$40-$60,$4-$6,$6-$8,,$100-$300,Yes,3,50.0
RzBqLv,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
oAV8d5,$40-$60,$6-$8,$8-$10,Yes,$500-$1000,Yes,3,50.0
oAV8OM,$60-$80,More than $20,More than $20,No,"More than $1,000",Yes,4,70.0
AlbYyW,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
KMB4kk,$60-$80,$6-$8,$10-$15,Yes,$20-$50,Yes,4,70.0
42N0Kd,$60-$80,$10-$15,$10-$15,No,$300-$500,Yes,4,70.0
0Ej0VZ,<$20,$6-$8,$8-$10,Yes,$20-$50,Yes,1,10.0
rlrQQo,$20-$40,$8-$10,$6-$8,Yes,Less than $20,Yes,2,30.0
vNx84X,$40-$60,$10-$15,$15-$20,No,"More than $1,000",No,3,50.0
OABxLk,$60-$80,$15-$20,More than $20,Yes,"More than $1,000",Yes,4,70.0
MAd2V0,<$20,$6-$8,$8-$10,No,Less than $20,Yes,1,10.0
8dpbGk,$80-$100,$15-$20,$15-$20,Yes,"More than $1,000",Yes,5,90.0
zKQ8ja,$20-$40,$6-$8,$6-$8,No,"More than $1,000",Yes,2,30.0
YZzBLJ,$60-$80,$8-$10,$8-$10,Yes,$50-$100,Yes,4,70.0
QABNdl,$40-$60,$6-$8,$10-$15,No,$500-$1000,Yes,3,50.0
8dpbko,>$100,$10-$15,More than $20,Yes,"More than $1,000",Yes,6,110.0
XeB6Ee,$80-$100,$15-$20,$15-$20,Yes,"More than $1,000",Yes,5,90.0
KMBroK,<$20,$6-$8,$6-$8,No,Less than $20,Yes,1,10.0
24x9rg,$20-$40,$4-$6,$4-$6,Yes,$300-$500,Yes,2,30.0
dY2JjD,$20-$40,$6-$8,$8-$10,No,$300-$500,Yes,2,30.0
LdMjyz,$20-$40,$15-$20,More than $20,Yes,$500-$1000,Yes,2,30.0
9dJYM1,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
kYR4rj,$20-$40,$4-$6,$8-$10,Yes,$50-$100,Yes,2,30.0
pLPN7q,$40-$60,More than $20,More than $20,,"More than $1,000",Yes,3,50.0
6dQ0eO,<$20,$10-$15,$10-$15,,"More than $1,000",Yes,1,10.0
42NlLd,$20-$40,$6-$8,$6-$8,Yes,$500-$1000,Yes,2,30.0
LdMxaj,$60-$80,$8-$10,More than $20,Yes,$500-$1000,Yes,4,70.0
BGbJZ4,$60-$80,More than $20,More than $20,No,"More than $1,000",Yes,4,70.0
J2kER7,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
eBxgQO,<$20,More than $20,More than $20,No,$100-$300,Yes,1,10.0
J2kELz,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
LdMjqJ,>$100,More than $20,$10-$15,Yes,$500-$1000,Yes,6,110.0
oAVNeM,$20-$40,$10-$15,$10-$15,Yes,$50-$100,Yes,2,30.0
oAVZ95,$40-$60,$8-$10,$4-$6,Yes,$500-$1000,Yes,3,50.0
eBxGvE,$60-$80,More than $20,More than $20,No,"More than $1,000",Yes,4,70.0
g5NPYO,$40-$60,$8-$10,$10-$15,Yes,$100-$300,Yes,3,50.0
xdNbxo,$20-$40,$10-$15,$10-$15,Yes,$50-$100,Yes,2,30.0
zKQ8ZZ,$60-$80,$10-$15,More than $20,Yes,$300-$500,Yes,4,70.0
rlrQxl,$20-$40,$8-$10,$6-$8,No,$300-$500,Yes,2,30.0
VZ1W8N,$40-$60,$6-$8,$6-$8,No,$500-$1000,Yes,3,50.0
WAp6PN,$20-$40,$8-$10,$15-$20,Yes,"More than $1,000",Yes,2,30.0
DVvo9l,$40-$60,$6-$8,$6-$8,Yes,"More than $1,000",Yes,3,50.0
ylqAdB,$40-$60,$4-$6,$2-$4,No,$100-$300,Yes,3,50.0
rlrQP2,,,,,,,,
EPbo0L,$80-$100,More than $20,More than $20,Yes,$500-$1000,Yes,5,90.0
ylqAY6,$20-$40,$6-$8,$8-$10,No,$100-$300,Yes,2,30.0
AlbR7B,$40-$60,$6-$8,$6-$8,Yes,$300-$500,Yes,3,50.0
EPbVxA,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
BGboo4,$60-$80,$6-$8,$8-$10,Yes,$500-$1000,Yes,4,70.0
dY2GGD,<$20,$8-$10,$8-$10,Yes,Less than $20,Yes,1,10.0
oAV8o5,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
WApa9N,<$20,$8-$10,$15-$20,No,Less than $20,Yes,1,10.0
BGbJE5,<$20,$8-$10,$10-$15,Yes,$50-$100,Yes,1,10.0
0EjzA9,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
vNx6YX,$20-$40,$8-$10,$10-$15,Yes,$300-$500,Yes,2,30.0
WApaAQ,$40-$60,$10-$15,$15-$20,Yes,"More than $1,000",Yes,3,50.0
J2krZX,$40-$60,$10-$15,$15-$20,No,$100-$300,Yes,3,50.0
oAVN6V,$40-$60,More than $20,More than $20,Yes,$500-$1000,Yes,3,50.0
VZ1WVN,<$20,$4-$6,$4-$6,Yes,$20-$50,Yes,1,10.0
42Nlko,$40-$60,More than $20,More than $20,Yes,"More than $1,000",Yes,3,50.0
RzBq4P,$20-$40,$6-$8,$8-$10,No,"More than $1,000",Yes,2,30.0
1r2QM4,<$20,$10-$15,$10-$15,Yes,"More than $1,000",Yes,1,10.0
LdM4d2,<$20,$6-$8,$6-$8,Yes,$100-$300,Yes,1,10.0
42N0dB,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
jB98M9,$40-$60,$15-$20,More than $20,No,$300-$500,Yes,3,50.0
1r205O,$20-$40,$8-$10,More than $20,Yes,,Yes,2,30.0
5dq0yE,$20-$40,$2-$4,$2-$4,No,"More than $1,000",Yes,2,30.0
YZzb4N,$40-$60,$8-$10,More than $20,No,$500-$1000,Yes,3,50.0
QABq7Y,$40-$60,$10-$15,More than $20,Yes,"More than $1,000",Yes,3,50.0
PABQDd,$20-$40,$10-$15,More than $20,Yes,$100-$300,Yes,2,30.0
9dJY7E,$20-$40,$6-$8,$6-$8,Yes,$100-$300,Yes,2,30.0
24xYgM,$40-$60,$10-$15,$15-$20,Yes,$500-$1000,Yes,3,50.0
KMB25K,$20-$40,$6-$8,More than $20,Yes,$300-$500,Yes,2,30.0
RzBqzP,,,,,,,,
GrBEvo,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
rlrQrv,$60-$80,$4-$6,$15-$20,No,$100-$300,Yes,4,70.0
LdMxpz,$60-$80,$10-$15,$10-$15,Yes,$100-$300,No,4,70.0
ZdRblA,$20-$40,$8-$10,$8-$10,Yes,"More than $1,000",Yes,2,30.0
bl4My7,$40-$60,$6-$8,More than $20,No,$50-$100,Yes,3,50.0
XeB72d,$20-$40,$6-$8,$4-$6,Yes,$500-$1000,Yes,2,30.0
zKQBXq,<$20,$6-$8,$4-$6,Yes,"More than $1,000",Yes,1,10.0
rlr9Yv,$20-$40,$10-$15,$15-$20,Yes,$20-$50,Yes,2,30.0
dY2GNy,$20-$40,$6-$8,$8-$10,Yes,$20-$50,Yes,2,30.0
zKQA18,$40-$60,$8-$10,$10-$15,No,$100-$300,Yes,3,50.0
ZdRAAV,$20-$40,$6-$8,$10-$15,Yes,$300-$500,Yes,2,30.0
VZ17Ev,$40-$60,$8-$10,$8-$10,No,$300-$500,Yes,3,50.0
NAB2Ab,$40-$60,$6-$8,$10-$15,Yes,$300-$500,Yes,3,50.0
rlr9yM,$40-$60,$6-$8,$4-$6,No,$500-$1000,Yes,3,50.0
5dqYbv,$60-$80,$8-$10,$6-$8,Yes,"More than $1,000",Yes,4,70.0
AlbRKW,$40-$60,$8-$10,$8-$10,No,"More than $1,000",No,3,50.0
ylqb6X,$20-$40,$10-$15,$10-$15,Yes,$500-$1000,Yes,2,30.0
dY2o6d,,,,,,,,
dY2oKz,$40-$60,$4-$6,$2-$4,Yes,$300-$500,Yes,3,50.0
oAVN61,$20-$40,$6-$8,$6-$8,No,$500-$1000,Yes,2,30.0
rlr9yv,$40-$60,$8-$10,$8-$10,Yes,$300-$500,Yes,3,50.0
kYR4Nr,$20-$40,$8-$10,$8-$10,Yes,"More than $1,000",Yes,2,30.0
zKQ4kq,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
RzBeoP,$20-$40,$6-$8,More than $20,Yes,$100-$300,Yes,2,30.0
24xYJL,<$20,$6-$8,$6-$8,Yes,$100-$300,Yes,1,10.0
ZdRAWA,$60-$80,$10-$15,$10-$15,No,"More than $1,000",Yes,4,70.0
rlr9OL,$40-$60,$8-$10,$15-$20,No,"More than $1,000",Yes,3,50.0
PABQdQ,$40-$60,$8-$10,$8-$10,No,$20-$50,Yes,3,50.0
1r20NQ,$40-$60,$15-$20,$15-$20,Yes,"More than $1,000",Yes,3,50.0
qbEqj2,$20-$40,$8-$10,$8-$10,Yes,$50-$100,Yes,2,30.0
g5NV9P,$20-$40,$6-$8,$6-$8,No,"More than $1,000",Yes,2,30.0
42NY8Y,<$20,$6-$8,$15-$20,No,$50-$100,Yes,1,10.0
GrBVJp,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
7d90RL,$80-$100,$10-$15,$15-$20,Yes,$100-$300,Yes,5,90.0
lNl8WV,$20-$40,$10-$15,$10-$15,No,$300-$500,Yes,2,30.0
vNxaEA,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
0EjY5P,$20-$40,$8-$10,$8-$10,No,$100-$300,Yes,2,30.0
eBxO5q,<$20,$15-$20,$6-$8,Yes,$20-$50,Yes,1,10.0
blx47Z,,,,,,,,
lNlXyB,$20-$40,$6-$8,$8-$10,Yes,$50-$100,Yes,2,30.0
1r2Yx4,$40-$60,$10-$15,$10-$15,Yes,$500-$1000,Yes,3,50.0
1r20WM,$20-$40,$4-$6,Less than $2,No,"More than $1,000",Yes,2,30.0
J2krad,$20-$40,$8-$10,Less than $2,No,$100-$300,Yes,2,30.0
DVvo05,$40-$60,$8-$10,More than $20,Yes,$100-$300,Yes,3,50.0
VZ1aJj,$20-$40,$6-$8,$6-$8,Yes,$500-$1000,Yes,2,30.0
42N0ab,,,,,,,,
aBrJxZ,<$20,$10-$15,$15-$20,No,$100-$300,Yes,1,10.0
9dJ0qG,$20-$40,$10-$15,$15-$20,No,$100-$300,Yes,2,30.0
PABN1x,$20-$40,$6-$8,$8-$10,No,$500-$1000,Yes,2,30.0
8dpDDk,$80-$100,$8-$10,More than $20,No,$300-$500,Yes,5,90.0
qA2y0O,,,,,,,,
V0ELg6,,,,,,,,
zKQ8Qg,,,,,,,,
VZ1WYN,$20-$40,$4-$6,$6-$8,No,$100-$300,Yes,2,30.0
jB98W1,,,,,,,,
24x9Rj,,,,,,,,
rlr82o,,,,,,,,
QABNj7,,,,,,,,
vNx8El,,,,,,,,
jB98WY,$20-$40,$8-$10,$8-$10,No,$500-$1000,Yes,2,30.0
LdM4Op,,,,,,,,
qbE8gG,,,,,,,,
bl41zZ,,,,,,,,
xdN8yk,$40-$60,$10-$15,$10-$15,Yes,"More than $1,000",Yes,3,50.0
rlr8LX,$40-$60,$6-$8,$6-$8,No,$50-$100,Yes,3,50.0
jB98ga,,,,,,,,
pLPY01,,,,,,,,
GrBODO,$20-$40,$6-$8,$2-$4,No,"More than $1,000",Yes,2,30.0
7d97a0,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
WApale,$20-$40,$10-$15,$15-$20,No,"More than $1,000",Yes,2,30.0
0EjqlN,,,,,,,,
oAV8dN,$40-$60,$10-$15,More than $20,Yes,"More than $1,000",Yes,3,50.0
0Ejqaj,,,,,,,,
5dqaeZ,$80-$100,$15-$20,More than $20,No,"More than $1,000",Yes,5,90.0
g5N8v4,$60-$80,$6-$8,$8-$10,Yes,"More than $1,000",Yes,4,70.0
oAV8lb,$40-$60,$8-$10,$10-$15,No,$50-$100,Yes,3,50.0
AlbMyz,,,,,,,,
jB9871,$40-$60,$8-$10,$4-$6,No,$100-$300,Yes,3,50.0
9dJA2E,$20-$40,$10-$15,More than $20,No,"More than $1,000",Yes,2,30.0
PABZBx,$20-$40,$4-$6,$8-$10,Yes,$500-$1000,Yes,2,30.0
DVvRWR,$40-$60,$6-$8,$6-$8,No,"More than $1,000",Yes,3,50.0
dY2JDV,>$100,$4-$6,$4-$6,No,$500-$1000,Yes,6,110.0
bl41Y1,<$20,$2-$4,$2-$4,Yes,$50-$100,Yes,1,10.0
rlr8vR,$80-$100,$10-$15,$10-$15,Yes,"More than $1,000",Yes,5,90.0
xdN89d,$40-$60,$8-$10,$8-$10,No,$500-$1000,Yes,3,50.0
kYR8Jo,$80-$100,$15-$20,$15-$20,Yes,$500-$1000,Yes,5,90.0
YZz7xW,$60-$80,$10-$15,$8-$10,Yes,"More than $1,000",Yes,4,70.0
RzBq29,,,,,,,,
24x9DD,,,,,,,,
rlr8k2,$20-$40,$6-$8,$8-$10,Yes,$300-$500,Yes,2,30.0
7d97ER,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
GrBOBO,$40-$60,$8-$10,$10-$15,Yes,"More than $1,000",Yes,3,50.0
42NlPr,$40-$60,$10-$15,More than $20,Yes,$500-$1000,Yes,3,50.0
XeB6OP,$40-$60,$8-$10,$8-$10,Yes,$50-$100,Yes,3,50.0
VZ1W4y,>$100,More than $20,More than $20,Yes,"More than $1,000",Yes,6,110.0
kYR8ve,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
YZz7oN,$20-$40,$8-$10,$8-$10,Yes,$500-$1000,Yes,2,30.0
OABxYM,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
xdN8lv,<$20,$4-$6,$8-$10,Yes,$100-$300,Yes,1,10.0
eBxgYk,$40-$60,$6-$8,$6-$8,Yes,$300-$500,Yes,3,50.0
RzBqj9,<$20,$4-$6,$4-$6,No,$500-$1000,Yes,1,10.0
1r2QGg,$60-$80,$8-$10,$6-$8,No,$500-$1000,Yes,4,70.0
pLPYZJ,,,,,,,,
MAdj6k,>$100,More than $20,More than $20,No,"More than $1,000",Yes,6,110.0
OABxER,$20-$40,$8-$10,$8-$10,Yes,$50-$100,Yes,2,30.0
BGbJ0K,$20-$40,$8-$10,$10-$15,Yes,$500-$1000,Yes,2,30.0
qbE8jO,$40-$60,$8-$10,Less than $2,Yes,$500-$1000,Yes,3,50.0
kYR8ze,>$100,$6-$8,$6-$8,,$100-$300,Yes,6,110.0
GrBODQ,$20-$40,$4-$6,$4-$6,Yes,$100-$300,Yes,2,30.0
vNx8KD,$40-$60,$10-$15,$10-$15,Yes,$300-$500,Yes,3,50.0
oAV8VN,$20-$40,$6-$8,$4-$6,Yes,$300-$500,Yes,2,30.0
VZ1Wxg,$40-$60,$10-$15,$10-$15,No,$500-$1000,Yes,3,50.0
24x9Oe,$40-$60,$6-$8,$8-$10,Yes,$500-$1000,Yes,3,50.0
KMBrO8,$20-$40,$8-$10,$8-$10,Yes,"More than $1,000",Yes,2,30.0
WApa1v,$20-$40,$6-$8,$10-$15,Yes,$100-$300,Yes,2,30.0
bl41gL,<$20,$6-$8,$8-$10,No,$50-$100,Yes,1,10.0
EPbovB,$60-$80,$6-$8,$8-$10,Yes,,,4,70.0
ylq8e8,$20-$40,$6-$8,$8-$10,No,$100-$300,Yes,2,30.0
24x9ZL,>$100,$6-$8,$8-$10,Yes,$300-$500,Yes,6,110.0
MAdjGM,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
24x9Zj,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
rlr8kR,$40-$60,$6-$8,$8-$10,No,$100-$300,Yes,3,50.0
g5N8pl,$40-$60,$10-$15,$6-$8,Yes,$300-$500,Yes,3,50.0
rlr8qN,$20-$40,$4-$6,$4-$6,Yes,$50-$100,Yes,2,30.0
ylq87g,$20-$40,$8-$10,$15-$20,No,$500-$1000,Yes,2,30.0
GrBO7Z,>$100,$8-$10,$8-$10,No,"More than $1,000",Yes,6,110.0
NAB2Rj,$20-$40,$8-$10,$10-$15,No,"More than $1,000",Yes,2,30.0
RzBqkj,$40-$60,$6-$8,More than $20,Yes,"More than $1,000",Yes,3,50.0
xdN86r,$20-$40,$4-$6,$4-$6,No,$100-$300,Yes,2,30.0
9dJArQ,>$100,$8-$10,$4-$6,No,"More than $1,000",No,6,110.0
EPboa4,$80-$100,$2-$4,$2-$4,No,$100-$300,Yes,5,90.0
WApaQN,$20-$40,$6-$8,$4-$6,Yes,Less than $20,Yes,2,30.0
42NlN5,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
AlbM50,$40-$60,$6-$8,$10-$15,Yes,$50-$100,Yes,3,50.0
QABNap,<$20,$15-$20,$4-$6,No,Less than $20,Yes,1,10.0
dY2Jkd,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
RzBqr9,$40-$60,,More than $20,Yes,$500-$1000,Yes,3,50.0
lNl89W,$80-$100,$6-$8,$4-$6,No,$50-$100,Yes,5,90.0
PABZGB,$80-$100,$10-$15,$15-$20,No,$50-$100,Yes,5,90.0
RzBqjj,$40-$60,$10-$15,More than $20,Yes,$500-$1000,Yes,3,50.0
LdM4ov,$20-$40,$10-$15,More than $20,Yes,"More than $1,000",Yes,2,30.0
GrBO5k,$40-$60,,,No,$300-$500,Yes,3,50.0
ZdRbWo,$80-$100,More than $20,More than $20,Yes,$500-$1000,Yes,5,90.0
AlbMQD,$20-$40,$8-$10,$8-$10,Yes,$50-$100,Yes,2,30.0
42NlqX,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
24x9D9,$20-$40,$6-$8,$10-$15,Yes,$50-$100,Yes,2,30.0
oAV81V,,$8-$10,$4-$6,No,$100-$300,,,
QABNE7,$80-$100,More than $20,More than $20,No,$100-$300,Yes,5,90.0
6dQ6QN,$40-$60,$10-$15,More than $20,Yes,$100-$300,Yes,3,50.0
KMBrkV,$20-$40,$4-$6,$8-$10,No,$500-$1000,Yes,2,30.0
g5N8NJ,$40-$60,$8-$10,$8-$10,Yes,"More than $1,000",No,3,50.0
aBrpab,$20-$40,$6-$8,$8-$10,No,$20-$50,Yes,2,30.0
OABxVR,,,,,,,,
aBrpPq,,,,,,,,
bl41vZ,<$20,$4-$6,$4-$6,No,$20-$50,Yes,1,10.0
oAV8kO,,,,,,,,
qbE8NG,>$100,More than $20,More than $20,Yes,"More than $1,000",Yes,6,110.0
eBxgoe,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
aBrpkB,$60-$80,$8-$10,$8-$10,No,$50-$100,Yes,4,70.0
vNx8g0,$20-$40,$8-$10,$8-$10,No,$20-$50,Yes,2,30.0
NAB2Ol,$60-$80,$8-$10,$10-$15,No,$100-$300,Yes,4,70.0
GrBObk,$20-$40,$10-$15,More than $20,No,$500-$1000,No,2,30.0
kYR8x1,>$100,$10-$15,More than $20,No,$300-$500,Yes,6,110.0
g5N8z4,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
lNl8zv,$40-$60,$6-$8,$8-$10,Yes,"More than $1,000",Yes,3,50.0
jB98z4,$20-$40,$6-$8,$8-$10,No,$100-$300,Yes,2,30.0
RzBqVj,$40-$60,$10-$15,$15-$20,Yes,"More than $1,000",Yes,3,50.0
BGbJ6Q,>$100,More than $20,More than $20,Yes,$500-$1000,Yes,6,110.0
5dqagd,,,,,,,,
QABN8Y,$60-$80,$6-$8,$8-$10,No,$100-$300,Yes,4,70.0
24x9o9,$40-$60,$10-$15,$15-$20,Yes,"More than $1,000",Yes,3,50.0
BGbJ9Q,$20-$40,$4-$6,$4-$6,Yes,$20-$50,Yes,2,30.0
PABZrV,$20-$40,$6-$8,More than $20,No,"More than $1,000",Yes,2,30.0
lNl84k,>$100,$8-$10,More than $20,Yes,"More than $1,000",Yes,6,110.0
rlr8YR,$80-$100,$6-$8,$10-$15,Yes,"More than $1,000",Yes,5,90.0
zKQ8L0,$40-$60,$8-$10,More than $20,Yes,"More than $1,000",Yes,3,50.0
NAB2El,$80-$100,$10-$15,$6-$8,Yes,$20-$50,Yes,5,90.0
9dJAMV,$60-$80,$10-$15,More than $20,Yes,$500-$1000,Yes,4,70.0
YZz79J,$40-$60,$15-$20,$15-$20,No,Less than $20,Yes,3,50.0
5dqaod,$40-$60,$6-$8,$10-$15,Yes,$100-$300,Yes,3,50.0
GrBOgp,>$100,$8-$10,$8-$10,Yes,$100-$300,No,6,110.0
dY2Jgo,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
AlbMAe,$20-$40,$6-$8,$6-$8,No,$300-$500,Yes,2,30.0
XeB6d4,>$100,More than $20,More than $20,No,"More than $1,000",Yes,6,110.0
QABNX8,$20-$40,$8-$10,$8-$10,Yes,$500-$1000,Yes,2,30.0
1r2QBp,$40-$60,$4-$6,$4-$6,No,"More than $1,000",Yes,3,50.0
VZ1WY6,$40-$60,$10-$15,$15-$20,Yes,$100-$300,Yes,3,50.0
LdM4Vv,,$2-$4,$2-$4,No,Less than $20,Yes,,
6dQ6MJ,$40-$60,$10-$15,$10-$15,Yes,$500-$1000,Yes,3,50.0
oAV8vx,$20-$40,$4-$6,$2-$4,Yes,$50-$100,Yes,2,30.0
oAV8gP,$40-$60,$8-$10,$10-$15,No,$300-$500,Yes,3,50.0
EPboJ2,$60-$80,$8-$10,$10-$15,No,"More than $1,000",Yes,4,70.0
MAdjVA,$40-$60,$8-$10,$8-$10,No,$300-$500,Yes,3,50.0
EPboEX,$20-$40,$10-$15,$10-$15,Yes,"More than $1,000",Yes,2,30.0
6dQ64k,$40-$60,$6-$8,$6-$8,Yes,$20-$50,Yes,3,50.0
NAB240,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
