submission_id,age,gender,education_level,employment_status,number_children,work_from_home,cups_per_day,where_drink,brew_methods,purchase_locations,favorite_drink,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,likes_coffee_taste,knows_coffee_source,expertise_segment,expertise_segment_order,monthly_coffee_spend,monthly_spend_band_order,estimated_monthly_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,is_premium_customer,preferred_abc,preferred_a_or_d,preferred_overall
7WWB4A,<18 years old,,,,,,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine","Local cafe, Specialty coffee shop",Other,Full Bodied,Somewhat light,Light,Full caffeine,,,,Unknown,5,,,,,,,,,0,,,
pKL8aB,25-34 years old,,,,,,1,At the office,,,Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
Zd694B,<18 years old,Other (please specify),Bachelor's degree,Employed full-time,More than 3,I primarily work from home,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",,Pourover,Bright,Medium,Light,Full caffeine,10.0,,,Expert,4,>$100,6.0,110.0,,,,,,1,Coffee A,Coffee D,Coffee B
QAeYZY,>65 years old,,,,,,3,"At the office, At a cafe",,,Cortado,Fruity,Somewhat strong,Blonde,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,Coffee C,Coffee D,Coffee D
QA5JYA,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",Regular drip coffee,Sweet,Somewhat strong,Medium,Full caffeine,6.0,,,Intermediate,2,$40-$60,3.0,50.0,,,,,,0,Coffee A,Coffee A,Coffee B
Rz5BPj,25-34 years old,,,,,,2,At a cafe,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
jyDqva,18-24 years old,,,,,,2,At the office,,,Iced coffee,Nutty,Somewhat strong,Nordic,Full caffeine,4.0,,,Intermediate,2,,,,,,,,,0,,Coffee D,Coffee A
eB7QoJ,18-24 years old,,,,,,3,At home,Pour over,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
24xzlg,18-24 years old,,,,,,,At home,Other,,Pourover,Bright,Somewhat light,Light,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,,,
DVvoqX,35-44 years old,,,,,,,"At the office, On the go, At home",Espresso,Local cafe,Cappuccino,Caramalized,Somewhat strong,Medium,Full caffeine,9.0,,,Expert,4,,,,,,,,,0,,,
1r2YJQ,25-34 years old,,,,,,More than 4,"At the office, At home, At a cafe, On the go",Coffee extract (e.g. Cometeer),"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",Regular drip coffee,Bold,Very strong,,Full caffeine,8.0,,,Advanced,3,,,,,,,,,0,,,
24xYOV,45-54 years old,,,,,,1,At home,Pour over,,Regular drip coffee,Fruity,Medium,Light,Full caffeine,5.0,,,Intermediate,2,,,,,,,,,0,,,
AlbYao,18-24 years old,,,,,,2,"At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), French press",,Latte,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
J2krYz,35-44 years old,,,,,,1,"At home, At a cafe","Pour over, Espresso",,Pourover,Fruity,,Medium,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
WAp6ak,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
aBr18q,25-34 years old,,,,,,3,"At home, On the go",,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
42NYWO,18-24 years old,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
6dQ08e,25-34 years old,,,,,,1,"At a cafe, At home, On the go","Espresso, Cold brew, Pour over",Specialty coffee shop,Latte,Chocolatey,Very strong,Medium,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
J2kj9J,18-24 years old,,,,,,2,,"French press, Cold brew",,Iced coffee,,,,,,,,Unknown,5,,,,,,,,,0,,,
8dpDNA,18-24 years old,,,,,,3,,"Pour over, Espresso",,Pourover,,,,,,,,Unknown,5,,,,,,,,,0,,,
EPbVlL,<18 years old,,,,,,,At home,Pour over,,Regular drip coffee,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
ylqbBg,45-54 years old,Male,Master's degree,Employed full-time,2,I primarily work from home,2,"At home, At the office, At a cafe, On the go","Pour over, French press, Espresso","Local cafe, Specialty coffee shop",Regular drip coffee,Floral,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$4-$6,$8-$10,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
vNx6A4,18-24 years old,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
KMB2og,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
qbEQPO,18-24 years old,,,,,,3,"At the office, At home, At a cafe","Pour over, Cold brew, Other",,Pourover,Fruity,Somewhat strong,Light,Full caffeine,8.0,,,Advanced,3,,,,,,,,,0,,,
9dJ0O5,25-34 years old,,,,,,2,"At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",,Cortado,Fruity,Somewhat strong,Light,Full caffeine,5.0,,,Intermediate,2,,,,,,,,,0,,,
BGboZR,18-24 years old,,,,,,3,"At home, At a cafe, On the go","Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)","Local cafe, Specialty coffee shop",Espresso,Full Bodied,Medium,Light,Full caffeine,,,,Unknown,5,,,,,,,,,0,,,
oAVNdO,>65 years old,,,,,,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,Regular drip coffee,Full Bodied,Somewhat strong,Dark,,2.0,,,Beginner,1,,,,,,,,,0,Coffee C,Coffee D,Coffee C
YZzBdN,25-34 years old,Male,Master's degree,Unemployed,,I do a mix of both,2,"At home, At the office","Pour over, Espresso",,Pourover,Floral,Medium,Light,Full caffeine,10.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$2-$4,More than $20,Yes,$50-$100,Yes,0,Coffee A,Coffee A,Coffee A
VZ17Z6,35-44 years old,Male,Bachelor's degree,Employed full-time,3,I primarily work in person,1,"At the office, At home",Pour over,,Iced coffee,Fruity,Very strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,More than $20,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
RzBeZj,45-54 years old,Male,Bachelor's degree,Employed full-time,3,I primarily work from home,More than 4,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,Pourover,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$15-$20,Yes,$300-$500,Yes,0,Coffee A,Coffee A,Coffee A
0Ej0GZ,35-44 years old,,,,,,1,"At the office, At a cafe, At home","Pour over, Espresso, Other",,Cappuccino,Nutty,Medium,Medium,Full caffeine,8.0,,,Advanced,3,,,,,,,,,0,,,
eBxO4l,,,,,,,2,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
WApbkQ,35-44 years old,Male,Less than high school,Unemployed,2,I do a mix of both,2,"At a cafe, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,Cappuccino,Floral,Somewhat strong,Blonde,Full caffeine,4.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$6-$8,$4-$6,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
0Ej0WA,45-54 years old,Male,Bachelor's degree,Employed full-time,More than 3,I primarily work from home,2,At home,"Coffee extract (e.g. Cometeer), Pour over",,Pourover,Fruity,Somewhat light,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,$6-$8,$8-$10,No,$100-$300,Yes,1,Coffee B,Coffee D,Coffee D
9dJYlQ,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At home, At the office",Other,,Latte,Nutty,Somewhat strong,Medium,Full caffeine,2.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$4-$6,$6-$8,Yes,$50-$100,Yes,0,Coffee C,Coffee D,Coffee D
BGbJzQ,35-44 years old,,,,,,1,"At home, At the office, On the go","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)","National chain (e.g. Starbucks, Dunkin)",Latte,Chocolatey,Medium,Light,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
OABqpR,25-34 years old,,,,,,1,At home,French press,,Cappuccino,Chocolatey,Medium,Medium,Half caff,7.0,,,Advanced,3,,,,,,,,,0,Coffee B,Coffee D,Coffee B
bl41Zg,45-54 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,Less than 1,At a cafe,,,Iced coffee,Sweet,Somewhat strong,Medium,Half caff,2.0,Yes,No,Beginner,1,<$20,1.0,10.0,$8-$10,$8-$10,No,$20-$50,Yes,0,Coffee C,Coffee A,Coffee D
GrBVrk,25-34 years old,,,,,,1,On the go,,Deli or supermarket,Cold brew,Chocolatey,Somewhat strong,Medium,Full caffeine,1.0,,,Beginner,1,,,,,,,,,0,Coffee B,Coffee A,Coffee C
WApbYk,35-44 years old,Female,Bachelor's degree,Employed full-time,1,I primarily work from home,1,"At the office, At home",Other,,Americano,Nutty,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,,,,$8-$10,$4-$6,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
eBxG20,35-44 years old,Male,Doctorate or professional degree,Employed full-time,2,I do a mix of both,3,"At home, At the office","Espresso, Pour over, French press, Cold brew",,Espresso,Nutty,Somewhat strong,Medium,Half caff,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$8-$10,No,"More than $1,000",No,0,Coffee A,Coffee D,Coffee C
24x9NA,25-34 years old,,,,,,2,At home,"Pour over, Instant coffee, Cold brew",,Pourover,,,,,,,,Unknown,5,,,,,,,,,0,,,
NAB2qB,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,2,At home,Espresso,,Cortado,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,Yes,No,Advanced,3,$60-$80,4.0,70.0,$4-$6,$6-$8,Yes,"More than $1,000",Yes,1,Coffee B,Coffee A,Coffee B
RzBqoJ,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,At home,"Espresso, Cold brew, Pour over",,Cold brew,Nutty,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
jB98xY,35-44 years old,,,,,,Less than 1,On the go,,Local cafe,Espresso,Nutty,Very strong,Medium,Half caff,8.0,,,Advanced,3,,,,,,,,,0,,,
LdMxB2,35-44 years old,,,,,,2,"At the office, At home, On the go","Espresso, Cold brew",Local cafe,Iced coffee,Full Bodied,,Medium,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,,,
GrBOrz,25-34 years old,,,,,,,,,,,Chocolatey,Medium,Dark,,5.0,,,Intermediate,2,,,,,,,,,0,,,
5dqajd,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,More than 4,"At home, At a cafe",Other,,Cappuccino,Fruity,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,>$100,6.0,110.0,$6-$8,More than $20,Yes,$300-$500,No,0,Coffee A,Coffee D,Coffee D
VZ1W0E,35-44 years old,Male,Master's degree,Employed full-time,2,I primarily work from home,More than 4,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Espresso,Bold,Very strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,$8-$10,$10-$15,Yes,$500-$1000,Yes,1,Coffee A,Coffee A,Coffee A
NABN5G,45-54 years old,Female,,,,I primarily work from home,More than 4,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",,Americano,Bold,Somewhat strong,Dark,Half caff,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
6dQY8o,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso",Specialty coffee shop,Cappuccino,Juicy,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,More than $20,More than $20,No,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
WAp6va,45-54 years old,Male,Master's degree,Employed full-time,3,I primarily work from home,More than 4,At home,"Espresso, Bean-to-cup machine, Pour over",,Espresso,Bold,Somewhat strong,Dark,Full caffeine,8.0,Yes,No,Advanced,3,$60-$80,4.0,70.0,$8-$10,$10-$15,No,"More than $1,000",Yes,1,Coffee B,Coffee D,Coffee B
EPbVGA,25-34 years old,,,,,,,"At home, At the office, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Latte,Chocolatey,Medium,Medium,Full caffeine,,,,Unknown,5,,,,,,,,,0,Coffee A,Coffee A,
OABqQp,35-44 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,2,"On the go, At a cafe, At the office",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",Latte,Sweet,Very strong,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$4-$6,$6-$8,Yes,$20-$50,Yes,0,Coffee A,Coffee A,Coffee A
DVvOop,35-44 years old,,,,,,2,At home,Espresso,,Cold brew,Nutty,Somewhat strong,Dark,Full caffeine,5.0,,,Intermediate,2,,,,,,,,,0,,,
KMBrLz,25-34 years old,,,,,,3,"At the office, At home","Pour over, French press, Espresso, Cold brew",,Cappuccino,Caramalized,Somewhat strong,Medium,Full caffeine,3.0,,,Beginner,1,,,,,,,,,0,,,
jB9r21,25-34 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work from home,1,"At home, At a cafe","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,>$100,6.0,110.0,$8-$10,$10-$15,No,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
pLPYLE,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At the office, On the go",,"Drive-thru, National chain (e.g. Starbucks, Dunkin)",Iced coffee,Caramalized,Very strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,No,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
oAV8yX,35-44 years old,,,,,,2,At home,Espresso,,Other,Floral,Somewhat strong,Light,Full caffeine,9.0,,,Expert,4,,,,,,,,,0,Coffee A,Coffee A,Coffee A
aBrp0W,18-24 years old,,,,,,4,At home,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Cold brew,Sweet,Medium,Light,Full caffeine,5.0,,,Intermediate,2,,,,,,,,,0,,,
g5NPxK,25-34 years old,Male,,,,,2,"At home, At the office","Espresso, Pour over",,Cappuccino,Fruity,Somewhat strong,Light,Full caffeine,9.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$15-$20,$15-$20,No,"More than $1,000",Yes,0,Coffee C,Coffee D,Coffee D
bl41kE,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)","Specialty coffee shop, Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin)",Pourover,Nutty,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$10-$15,$10-$15,No,$500-$1000,Yes,1,Coffee A,Coffee A,Coffee A
GrBO1z,45-54 years old,Male,Master's degree,Employed full-time,2,I do a mix of both,2,"At home, At the office","Pour over, French press",,Cappuccino,Chocolatey,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
xdN8Q9,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Local cafe,Pourover,Fruity,Very strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
vNx8Xv,35-44 years old,Female,Bachelor's degree,Unemployed,1,I primarily work from home,1,At home,French press,,Cold brew,Chocolatey,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,Yes,$50-$100,Yes,0,Coffee B,Coffee A,Coffee B
dY2JPN,18-24 years old,Male,,,,I primarily work from home,2,"At home, At a cafe",Pour over,,Pourover,Nutty,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,Yes,$50-$100,Yes,0,Coffee C,Coffee A,Coffee C
MAdjLE,35-44 years old,Male,Doctorate or professional degree,Employed full-time,,I do a mix of both,2,At home,"Espresso, Pour over",,Espresso,Fruity,Somewhat strong,Nordic,Full caffeine,9.0,Yes,Yes,Expert,4,>$100,6.0,110.0,$15-$20,More than $20,Yes,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
6dQ6xo,25-34 years old,Male,Master's degree,Employed full-time,,I do a mix of both,3,"At the office, At home","Espresso, Pour over",,Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,No,"More than $1,000",Yes,0,Coffee C,Coffee A,Coffee C
7d97lZ,25-34 years old,Female,Doctorate or professional degree,Employed full-time,,I do a mix of both,2,"At home, At the office",Coffee extract (e.g. Cometeer),,Americano,Full Bodied,Medium,Dark,Full caffeine,3.0,Yes,Yes,Beginner,1,>$100,6.0,110.0,$8-$10,$15-$20,Yes,$20-$50,No,0,Coffee B,Coffee D,Coffee B
0EjqPQ,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,3,At home,Pour over,,Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$15-$20,No,$300-$500,Yes,0,Coffee C,Coffee D,Coffee D
BGbJD4,25-34 years old,Male,Bachelor's degree,Employed full-time,More than 3,I primarily work in person,1,At the office,,,Pourover,Chocolatey,Medium,Light,Full caffeine,2.0,No,Yes,Beginner,1,$20-$40,2.0,30.0,$6-$8,More than $20,Yes,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
9dJYbp,25-34 years old,Male,Master's degree,Student,,I primarily work in person,3,"At home, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,Latte,Chocolatey,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$15-$20,$10-$15,No,$100-$300,Yes,0,Coffee A,Coffee A,Coffee D
xdNbJ9,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At home, On the go, At the office, At a cafe",Espresso,"National chain (e.g. Starbucks, Dunkin)",Espresso,Fruity,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
EPbVLl,45-54 years old,,,,,I primarily work from home,2,"At home, At the office, On the go",Pod/capsule machine (e.g. Keurig/Nespresso),Local cafe,Regular drip coffee,Full Bodied,Somewhat strong,Italian,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,Coffee C,Coffee A,Coffee C
pLPNQJ,35-44 years old,Female,Doctorate or professional degree,Employed full-time,2,I do a mix of both,1,"At home, On the go",Pour over,Local cafe,Pourover,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$6-$8,No,$300-$500,Yes,0,Coffee A,Coffee A,Coffee A
AlbMLW,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,2,"At home, At a cafe","Pour over, Other",,Iced coffee,Bright,Medium,Light,Decaf,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,1,Coffee A,Coffee D,Coffee D
EPboPq,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work in person,3,At home,"Pour over, Cold brew",,Latte,Full Bodied,Medium,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,>$100,6.0,110.0,$15-$20,More than $20,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee C
ylq8yW,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,3,"At home, At the office, On the go, At a cafe","Espresso, Coffee brewing machine (e.g. Mr. Coffee)","Local cafe, National chain (e.g. Starbucks, Dunkin)",Americano,Full Bodied,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$10-$15,No,$20-$50,Yes,0,Coffee C,Coffee D,Coffee C
J2kEDz,45-54 years old,Male,Some college or associate's degree,Employed full-time,2,I do a mix of both,1,"At the office, At home","Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Cappuccino,Nutty,Somewhat strong,Medium,Decaf,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,No,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
24x9Lg,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work from home,2,At home,Pour over,,Pourover,Juicy,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$10-$15,No,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
0EjYb6,35-44 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,3,At home,"Pour over, Espresso",,Pourover,Fruity,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,$10-$15,$10-$15,Yes,"More than $1,000",Yes,1,Coffee C,Coffee D,Coffee D
ZdRb6a,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work from home,2,At home,"Espresso, Pour over",,Cortado,Nutty,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$10-$15,$15-$20,Yes,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee D
WApbdP,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,3,"At the office, At home",Other,,Espresso,Floral,Medium,Light,Full caffeine,7.0,Yes,No,Advanced,3,$20-$40,2.0,30.0,$8-$10,More than $20,No,$300-$500,Yes,0,Coffee C,Coffee D,Coffee D
24xY69,18-24 years old,Male,Some college or associate's degree,Student,,I primarily work from home,2,At home,"French press, Cold brew",,Cold brew,Chocolatey,Somewhat strong,Medium,Full caffeine,2.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$8-$10,,Yes,$20-$50,Yes,0,Coffee C,Coffee D,Coffee C
RzBqWd,25-34 years old,Male,,,,I primarily work in person,1,At home,Pour over,,Pourover,Fruity,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$4-$6,$6-$8,,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
RzBqLv,25-34 years old,Male,High school graduate,Employed full-time,,I primarily work in person,More than 4,"At home, At the office, At a cafe","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,Espresso,Full Bodied,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
oAV8d5,35-44 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work from home,3,"At home, At a cafe",French press,,Americano,Nutty,Very strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$8-$10,Yes,$500-$1000,Yes,0,Coffee C,Coffee A,Coffee C
oAV8OM,25-34 years old,Male,Bachelor's degree,Employed full-time,More than 3,I primarily work in person,2,At home,"Pour over, Espresso, Cold brew",,Pourover,Fruity,Somewhat light,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,More than $20,More than $20,No,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
AlbYyW,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At the office,,,Mocha,Floral,Somewhat strong,Light,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$10-$15,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
